[2024-08-26 10:35:29.706] [bm] [info] Params: run_name          sampleN20
[2024-08-26 10:35:29.706] [bm] [info] Params: input_data        ../Data/sampleN20.dat
[2024-08-26 10:35:29.706] [bm] [info] Params: input_init_guess  ../Results_Metropolis/sampleN20_j_min_7.05e-04_h_min_5.80e-04_t_eq_3000
[2024-08-26 10:35:29.706] [bm] [info] Params: output_data       ../Results_Metropolis/sampleN20_j_min_7.05e-04_h_min_5.80e-04_t_eq_3000.json
[2024-08-26 10:35:29.706] [bm] [info] Params: output_err        ../Results_Metropolis/err_sampleN20_j_min_7.05e-04_h_min_5.80e-04_t_eq_3000.txt
[2024-08-26 10:35:29.706] [bm] [info] Params: use_exact         false
[2024-08-26 10:35:29.706] [bm] [info] Params: iter_display      100
[2024-08-26 10:35:29.706] [bm] [info] Params: iter_max          150000
[2024-08-26 10:35:29.706] [bm] [info] Params: eta_J             0.05
[2024-08-26 10:35:29.706] [bm] [info] Params: eta_h             0.03
[2024-08-26 10:35:29.706] [bm] [info] Params: min_err_S         0.00058
[2024-08-26 10:35:29.706] [bm] [info] Params: min_err_SS        0.000705
[2024-08-26 10:35:29.706] [bm] [info] Params: n_rep             40
[2024-08-26 10:35:29.706] [bm] [info] Params: t_eq              9000
[2024-08-26 10:35:29.706] [bm] [info] Params: t_meas            270000
[2024-08-26 10:35:29.711] [bm] [info] read_tidy_data: read from ../Data/sampleN20.dat
[2024-08-26 11:54:52.401] [bm] [info] main: sampleN20 iter=10300 err_S=7.563766E-04 err_SS=1.044940E-03
[2024-08-26 11:55:37.770] [bm] [info] main: sampleN20 iter=10400 err_S=7.720364E-04 err_SS=1.082900E-03
[2024-08-26 11:56:23.113] [bm] [info] main: sampleN20 iter=10500 err_S=8.443703E-04 err_SS=1.183814E-03
[2024-08-26 11:57:08.493] [bm] [info] main: sampleN20 iter=10600 err_S=1.086827E-03 err_SS=1.365637E-03
[2024-08-26 11:57:53.832] [bm] [info] main: sampleN20 iter=10700 err_S=1.505560E-03 err_SS=1.731119E-03
[2024-08-26 11:58:39.169] [bm] [info] main: sampleN20 iter=10800 err_S=9.553801E-04 err_SS=1.311099E-03
[2024-08-26 11:59:24.638] [bm] [info] main: sampleN20 iter=10900 err_S=1.117458E-03 err_SS=1.310334E-03
[2024-08-26 12:00:10.010] [bm] [info] main: sampleN20 iter=11000 err_S=9.773304E-04 err_SS=1.200672E-03
[2024-08-26 12:00:55.362] [bm] [info] main: sampleN20 iter=11100 err_S=1.334882E-03 err_SS=1.747986E-03
[2024-08-26 12:01:40.824] [bm] [info] main: sampleN20 iter=11200 err_S=1.003516E-03 err_SS=1.188777E-03
[2024-08-26 12:02:26.251] [bm] [info] main: sampleN20 iter=11300 err_S=1.049583E-03 err_SS=1.279651E-03
[2024-08-26 12:03:11.649] [bm] [info] main: sampleN20 iter=11400 err_S=1.023061E-03 err_SS=1.731858E-03
[2024-08-26 12:03:57.094] [bm] [info] main: sampleN20 iter=11500 err_S=1.037232E-03 err_SS=1.186357E-03
[2024-08-26 12:04:42.515] [bm] [info] main: sampleN20 iter=11600 err_S=1.047959E-03 err_SS=1.257294E-03
[2024-08-26 12:05:27.927] [bm] [info] main: sampleN20 iter=11700 err_S=1.208954E-03 err_SS=1.483044E-03
[2024-08-26 12:06:13.353] [bm] [info] main: sampleN20 iter=11800 err_S=9.303226E-04 err_SS=1.396162E-03
[2024-08-26 12:06:58.762] [bm] [info] main: sampleN20 iter=11900 err_S=1.018478E-03 err_SS=1.134682E-03
[2024-08-26 12:07:44.184] [bm] [info] main: sampleN20 iter=12000 err_S=8.021958E-04 err_SS=1.244945E-03
[2024-08-26 12:08:29.573] [bm] [info] main: sampleN20 iter=12100 err_S=1.123108E-03 err_SS=1.413807E-03
[2024-08-26 12:09:15.047] [bm] [info] main: sampleN20 iter=12200 err_S=1.162383E-03 err_SS=1.690567E-03
[2024-08-26 12:10:00.480] [bm] [info] main: sampleN20 iter=12300 err_S=1.102475E-03 err_SS=1.793323E-03
[2024-08-26 12:10:45.921] [bm] [info] main: sampleN20 iter=12400 err_S=1.406557E-03 err_SS=1.623075E-03
[2024-08-26 12:11:31.311] [bm] [info] main: sampleN20 iter=12500 err_S=1.063401E-03 err_SS=1.126841E-03
[2024-08-26 12:12:16.736] [bm] [info] main: sampleN20 iter=12600 err_S=1.128328E-03 err_SS=1.355781E-03
[2024-08-26 12:13:02.105] [bm] [info] main: sampleN20 iter=12700 err_S=7.689884E-04 err_SS=9.573016E-04
[2024-08-26 12:13:47.561] [bm] [info] main: sampleN20 iter=12800 err_S=1.149488E-03 err_SS=1.404230E-03
[2024-08-26 12:14:32.980] [bm] [info] main: sampleN20 iter=12900 err_S=9.438056E-04 err_SS=1.219447E-03
[2024-08-26 12:15:18.462] [bm] [info] main: sampleN20 iter=13000 err_S=6.835656E-04 err_SS=1.129818E-03
[2024-08-26 12:16:03.918] [bm] [info] main: sampleN20 iter=13100 err_S=1.022218E-03 err_SS=1.087123E-03
[2024-08-26 12:16:49.380] [bm] [info] main: sampleN20 iter=13200 err_S=1.133918E-03 err_SS=1.283275E-03
[2024-08-26 12:17:34.833] [bm] [info] main: sampleN20 iter=13300 err_S=1.127901E-03 err_SS=1.511334E-03
[2024-08-26 12:18:20.199] [bm] [info] main: sampleN20 iter=13400 err_S=9.975269E-04 err_SS=1.317834E-03
[2024-08-26 12:19:05.575] [bm] [info] main: sampleN20 iter=13500 err_S=1.104748E-03 err_SS=1.332511E-03
[2024-08-26 12:19:51.015] [bm] [info] main: sampleN20 iter=13600 err_S=1.020213E-03 err_SS=1.230250E-03
[2024-08-26 12:20:36.451] [bm] [info] main: sampleN20 iter=13700 err_S=1.061378E-03 err_SS=1.401322E-03
[2024-08-26 12:21:21.861] [bm] [info] main: sampleN20 iter=13800 err_S=1.062821E-03 err_SS=1.453364E-03
[2024-08-26 12:22:07.260] [bm] [info] main: sampleN20 iter=13900 err_S=1.108556E-03 err_SS=1.260615E-03
[2024-08-26 12:22:52.637] [bm] [info] main: sampleN20 iter=14000 err_S=1.081243E-03 err_SS=1.331527E-03
[2024-08-26 12:23:38.035] [bm] [info] main: sampleN20 iter=14100 err_S=1.130194E-03 err_SS=1.609584E-03
[2024-08-26 12:24:23.470] [bm] [info] main: sampleN20 iter=14200 err_S=8.970726E-04 err_SS=1.206241E-03
[2024-08-26 12:25:10.486] [bm] [info] main: sampleN20 iter=14300 err_S=7.908322E-04 err_SS=9.476898E-04
[2024-08-26 12:25:59.405] [bm] [info] main: sampleN20 iter=14400 err_S=8.835448E-04 err_SS=1.306164E-03
[2024-08-26 12:26:48.080] [bm] [info] main: sampleN20 iter=14500 err_S=8.773796E-04 err_SS=1.138851E-03
[2024-08-26 12:27:36.765] [bm] [info] main: sampleN20 iter=14600 err_S=1.130410E-03 err_SS=1.357419E-03
[2024-08-26 12:28:25.442] [bm] [info] main: sampleN20 iter=14700 err_S=9.532193E-04 err_SS=1.185202E-03
[2024-08-26 12:29:14.123] [bm] [info] main: sampleN20 iter=14800 err_S=1.112719E-03 err_SS=1.356975E-03
[2024-08-26 12:30:02.704] [bm] [info] main: sampleN20 iter=14900 err_S=1.133610E-03 err_SS=1.383589E-03
[2024-08-26 12:30:51.897] [bm] [info] main: sampleN20 iter=15000 err_S=1.033668E-03 err_SS=1.390890E-03
[2024-08-26 12:31:40.617] [bm] [info] main: sampleN20 iter=15100 err_S=1.162969E-03 err_SS=1.534753E-03
[2024-08-26 12:32:29.467] [bm] [info] main: sampleN20 iter=15200 err_S=9.424054E-04 err_SS=1.260560E-03
[2024-08-26 12:33:18.220] [bm] [info] main: sampleN20 iter=15300 err_S=9.588881E-04 err_SS=1.199018E-03
